id.cancer	sex	age	country_name	year	cases.number
	Male		Belgium	1986	43303
	Male		Belgium	1987	42464
	Male		Belgium	1988	42967
	Male		Belgium	1989	42529
	Male		Belgium	1990	42368
	Male		Belgium	1991	42170
	Male		Belgium	1992	43700
	Male		Belgium	1993	45052
	Male		Belgium	1994	45206
	Male		Belgium	1995	45853
	Male		Belgium	1996	44325
	Male		Belgium	1997	45405
	Male		Belgium	1998	44207
	Male		Belgium	1999	43409
	Male		Belgium	2000	42846
	Male		Belgium	2001	42623
	Male		Belgium	2002	42693
	Male		Belgium	2003	41826
	Male		Belgium	2004	41652
	Male		Belgium	2005	42872
	Male		Belgium	2006	42140
	Male		Belgium	2007	42526
	Male		Belgium	2008	43873
	Male		Belgium	2009	43029
	Male		Belgium	2010	44055
	Female		Belize	1964	71
	Female		Belize	1965	50
	Female		Belize	1966	73
	Female		Belize	1967	52
	Female		Belize	1968	42
	Female		Belize	1969	66
	Female		Belize	1970	44
	Female		Belize	1971	51
	Female		Belize	1972	95
	Female		Belize	1973	66
	Female		Belize	1974	64
	Female		Belize	1975	77
	Female		Belize	1976	57
	Female		Belize	1977	50
	Female		Belize	1979	43
	Female		Belize	1983	75
	Female		Belize	1984	56
	Female		Belize	1986	62
	Female		Belize	1987	79
	Female		Belize	1989	93
	Female		Belize	1990	78
	Female		Belize	1991	57
	Female		Belize	1993	68
	Female		Belize	1994	101
	Female		Belize	1995	101
	Female		Belize	1996	92
	Female		Belize	1997	153
	Female		Belize	1998	280
	Female		Belize	1999	205
	Female		Belize	2000	208
	Female		Belize	2001	233
	Female		Belize	2002	189
	Female		Belize	2003	198
	Female		Belize	2004	286
	Female		Belize	2005	201
	Female		Belize	2006	218
	Female		Belize	2007	278
	Female		Belize	2008	235
	Female		Belize	2009	210
	Female		Belize	2010	299
	Male		Belize	1964	56
	Male		Belize	1965	64
	Male		Belize	1966	28
	Male		Belize	1967	28
	Male		Belize	1968	44
	Male		Belize	1969	35
	Male		Belize	1970	51
	Male		Belize	1971	59
	Male		Belize	1972	76
	Male		Belize	1973	53
	Male		Belize	1974	41
	Male		Belize	1975	57
	Male		Belize	1976	45
	Male		Belize	1977	65
	Male		Belize	1979	31
	Male		Belize	1983	91
	Male		Belize	1984	80
	Male		Belize	1986	74
	Male		Belize	1987	109
	Male		Belize	1989	72
	Male		Belize	1990	73
	Male		Belize	1991	76
	Male		Belize	1993	70
	Male		Belize	1994	101
	Male		Belize	1995	120
	Male		Belize	1996	88
	Male		Belize	1997	211
	Male		Belize	1998	266
	Male		Belize	1999	266
	Male		Belize	2000	194
	Male		Belize	2001	228
	Male		Belize	2002	206
	Male		Belize	2003	180
	Male		Belize	2004	204
	Male		Belize	2005	284
	Male		Belize	2006	249
	Male		Belize	2007	278
	Male		Belize	2008	236
	Male		Belize	2009	267
	Male		Belize	2010	239
	Female		Brazil	1979	70469
	Female		Brazil	1980	74797
	Female		Brazil	1981	76985
	Female		Brazil	1982	78587
	Female		Brazil	1983	81617
	Female		Brazil	1984	83262
	Female		Brazil	1985	86241
	Female		Brazil	1986	90575
	Female		Brazil	1987	93408
	Female		Brazil	1988	96394
	Female		Brazil	1989	98486
	Female		Brazil	1990	101739
	Female		Brazil	1991	105172
	Female		Brazil	1992	109859
	Female		Brazil	1993	112663
	Female		Brazil	1994	117995
	Female		Brazil	1995	121228
	Female		Brazil	1996	141351
	Female		Brazil	1997	147634
	Female		Brazil	1998	152811
	Female		Brazil	1999	159806
	Female		Brazil	2000	166218
	Female		Brazil	2001	173723
	Female		Brazil	2002	179145
	Female		Brazil	2003	186338
	Female		Brazil	2004	194786
	Female		Brazil	2005	203851
	Female		Brazil	2006	214688
	Female		Brazil	2007	222066
	Female		Brazil	2008	230714
	Female		Brazil	2009	237640
	Female		Brazil	2010	246665
	Male		Brazil	1979	85745
	Male		Brazil	1980	90433
	Male		Brazil	1981	93465
	Male		Brazil	1982	95875
	Male		Brazil	1983	99866
	Male		Brazil	1984	102290
	Male		Brazil	1985	105091
	Male		Brazil	1986	108324
	Male		Brazil	1987	112255
	Male		Brazil	1988	115743
	Male		Brazil	1989	117196
	Male		Brazil	1990	119937
	Male		Brazil	1991	123787
	Male		Brazil	1992	130400
	Male		Brazil	1993	134608
	Male		Brazil	1994	138470
